bust,waist,hips,height,body_shape,image_path
93.1,69.8,103.0,162.4,Pear,data/model1_body_shape\images\01501.png
102.0,95.4,101.9,158.6,Apple,data/model1_body_shape\images\02586.png
91.8,88.5,95.2,167.0,Apple,data/model1_body_shape\images\02653.png
90.2,63.9,106.9,165.2,Pear,data/model1_body_shape\images\01055.png
92.5,60.8,89.5,165.5,Hourglass,data/model1_body_shape\images\00705.png
83.4,64.8,87.0,163.4,Hourglass,data/model1_body_shape\images\00106.png
88.0,59.6,86.4,146.5,Hourglass,data/model1_body_shape\images\00589.png
92.3,92.4,93.8,162.4,Apple,data/model1_body_shape\images\02468.png
106.9,101.9,103.8,168.5,Apple,data/model1_body_shape\images\02413.png
94.3,82.2,105.7,154.0,Pear,data/model1_body_shape\images\01600.png
103.7,98.2,103.7,161.8,Apple,data/model1_body_shape\images\02464.png
95.3,70.2,90.4,156.2,Hourglass,data/model1_body_shape\images\00228.png
96.4,66.4,91.5,161.7,Hourglass,data/model1_body_shape\images\00915.png
92.0,58.6,86.0,158.3,Hourglass,data/model1_body_shape\images\00794.png
95.9,85.9,96.1,159.5,Rectangle,data/model1_body_shape\images\03021.png
97.9,86.0,94.0,172.9,Rectangle,data/model1_body_shape\images\03543.png
97.9,87.1,107.4,157.3,Pear,data/model1_body_shape\images\01073.png
98.4,87.8,102.3,157.0,Rectangle,data/model1_body_shape\images\03351.png
87.5,64.9,98.4,165.3,Pear,data/model1_body_shape\images\01744.png
89.9,75.3,100.0,153.1,Pear,data/model1_body_shape\images\01084.png
105.4,77.2,102.5,163.8,Hourglass,data/model1_body_shape\images\00926.png
104.9,92.9,102.2,153.3,Rectangle,data/model1_body_shape\images\03049.png
96.2,66.2,109.3,158.7,Pear,data/model1_body_shape\images\01117.png
91.7,72.0,94.9,160.8,Hourglass,data/model1_body_shape\images\00642.png
95.2,75.2,80.6,157.7,InvertedTriangle,data/model1_body_shape\images\04767.png
88.7,62.4,83.1,152.6,Hourglass,data/model1_body_shape\images\00501.png
103.6,94.2,90.2,159.6,InvertedTriangle,data/model1_body_shape\images\04066.png
101.5,72.2,101.2,145.0,Hourglass,data/model1_body_shape\images\00333.png
97.6,85.6,88.6,168.3,InvertedTriangle,data/model1_body_shape\images\04684.png
95.2,70.0,90.1,170.3,Hourglass,data/model1_body_shape\images\00486.png
109.3,80.6,119.6,147.5,Pear,data/model1_body_shape\images\01962.png
91.6,65.8,88.9,160.3,Hourglass,data/model1_body_shape\images\00393.png
111.6,87.4,94.2,156.5,InvertedTriangle,data/model1_body_shape\images\04842.png
111.6,88.9,93.6,164.7,InvertedTriangle,data/model1_body_shape\images\04866.png
80.4,63.9,98.4,156.9,Pear,data/model1_body_shape\images\01755.png
105.1,103.6,107.3,151.9,Apple,data/model1_body_shape\images\02515.png
88.8,79.7,91.2,151.6,Rectangle,data/model1_body_shape\images\03585.png
102.5,83.2,84.7,175.4,InvertedTriangle,data/model1_body_shape\images\04315.png
93.9,75.3,79.5,162.9,InvertedTriangle,data/model1_body_shape\images\04966.png
