item_id,category,color,fabric,occasion,total_wear_count,current_cycle_wears,max_wears_before_wash,status,sustainability_score
SLW-0001,Trouser,Black,Linen,Office,52,0,2,Clean,56.67
SLW-0002,Salwar,Pink,Silk,Wedding,2,2,4,Clean,97.5
SLW-0003,National Dress,Gold,Silk,Wedding,3,1,4,Clean,96.25
SLW-0004,Batik Shirt,Multicolor,Batik,Office,59,0,3,Clean,41.0
SLW-0005,Sarong,White,Batik,Casual,86,0,3,Clean,14.0
SLW-0006,National Dress,Gold,Cotton,Religious,11,0,2,Clean,92.67
SLW-0007,Kurti,Purple,Silk,Religious,14,0,4,Clean,82.5
SLW-0008,National Dress,Gold,Cotton,Religious,13,2,2,Dirty,91.33
SLW-0009,Salwar,Green,Cotton,Casual,84,2,2,Dirty,44.0
SLW-0010,National Dress,Gold,Silk,Wedding,3,3,4,Clean,96.25
SLW-0011,T-Shirt,Black,Cotton,Casual,84,0,2,Clean,44.0
SLW-0012,Salwar,Blue,Cotton,Casual,84,1,2,Clean,44.0
SLW-0013,T-Shirt,Black,Cotton,Casual,89,0,2,Clean,40.67
SLW-0014,Vest,White,Cotton,Home,122,1,2,Clean,18.67
SLW-0015,Batik Shirt,Blue,Batik,Casual,75,3,3,Dirty,25.0
SLW-0016,Shirt,Grey,Linen,Office,46,1,2,Clean,61.67
SLW-0017,Kurtha,Blue,Cotton,Religious,10,0,2,Clean,93.33
SLW-0018,Dress,Red,Cotton,Casual,90,2,2,Dirty,40.0
SLW-0019,Leggings,Black,Polyester,Home,130,3,3,Dirty,35.0
SLW-0020,School Uniform,Blue,Cotton,Office,41,1,2,Clean,72.67
SLW-0021,Kurti,Blue,Cotton,Casual,98,0,2,Clean,34.67
SLW-0022,Sarong,Blue,Batik,Casual,86,1,3,Clean,14.0
SLW-0023,Batik Shirt,Blue,Batik,Casual,88,1,3,Clean,12.0
SLW-0024,Jeans,Black,Denim,Casual,78,2,5,Clean,74.0
SLW-0025,Trouser,Navy,Linen,Office,46,1,2,Clean,61.67
SLW-0026,Shirt,Blue,Linen,Office,50,1,2,Clean,58.33
SLW-0027,Trouser,Black,Cotton,Casual,79,1,2,Clean,47.33
SLW-0028,Kurti,Purple,Silk,Religious,12,1,4,Clean,85.0
SLW-0029,Salwar,Pink,Silk,Wedding,2,1,4,Clean,97.5
SLW-0030,Dress,Green,Cotton,Casual,85,1,2,Clean,43.33
SLW-0031,Leggings,Navy,Polyester,Home,133,1,3,Clean,33.5
SLW-0032,Shirt,Blue,Cotton,Office,61,0,2,Clean,59.33
SLW-0033,Blouse,Green,Silk,Wedding,2,0,4,Clean,97.5
SLW-0034,Jeans,Blue,Denim,Casual,80,2,5,Clean,73.33
SLW-0035,National Dress,Gold,Cotton,Religious,13,2,2,Dirty,91.33
SLW-0036,Shirt,Pink,Cotton,Office,42,0,2,Clean,72.0
SLW-0037,Jeans,Black,Denim,Casual,89,5,5,Dirty,70.33
SLW-0038,Saree,Gold,Silk,Religious,9,2,4,Clean,88.75
SLW-0039,National Dress,Gold,Silk,Wedding,1,4,4,Dirty,98.75
SLW-0040,T-Shirt,Grey,Cotton,Casual,89,2,2,Dirty,40.67
SLW-0041,Shorts,Khaki,Cotton,Home,143,2,2,Dirty,4.67
SLW-0042,Shirt,Blue,Linen,Office,51,0,2,Clean,57.5
SLW-0043,Jacket,Black,Polyester,Casual,87,3,3,Dirty,56.5
